;n;accuracy
0;1;0.5193877551020408
1;2;0.6326530612244897
2;3;0.6916326530612245
3;4;0.7379591836734695
4;5;0.7575510204081634
5;6;0.7642857142857142
6;7;0.7642857142857142
7;8;0.7642857142857142
8;9;0.7642857142857142
9;10;0.7642857142857142
10;11;0.7642857142857142
11;12;0.7642857142857142
12;13;0.7642857142857142
13;14;0.7642857142857142
14;15;0.7642857142857142
15;16;0.7642857142857142
16;17;0.7642857142857142
17;18;0.7642857142857142
18;19;0.7642857142857142
19;20;0.7642857142857142
20;21;0.7642857142857142
21;22;0.7642857142857142
22;23;0.7642857142857142
23;24;0.7642857142857142
24;25;0.7642857142857142
25;26;0.7642857142857142
26;27;0.7642857142857142
27;28;0.7642857142857142
28;29;0.7642857142857142
29;30;0.7642857142857142
30;31;0.7642857142857142
31;32;0.7642857142857142
32;33;0.7642857142857142
33;34;0.7642857142857142
34;35;0.7642857142857142
35;36;0.7642857142857142
36;37;0.7642857142857142
37;38;0.7642857142857142
38;39;0.7642857142857142
39;40;0.7642857142857142
40;41;0.7642857142857142
41;42;0.7642857142857142
42;43;0.7642857142857142
43;44;0.7642857142857142
44;45;0.7642857142857142
45;46;0.7642857142857142
46;47;0.7642857142857142
47;48;0.7642857142857142
48;49;0.7642857142857142
49;50;0.7642857142857142
50;51;0.7642857142857142
51;52;0.7642857142857142
52;53;0.7642857142857142
53;54;0.7642857142857142
